,pros,cons,advice
0,"great pay, amazing culture, proactive approach to problem solving","call center, repetitive work, tough advancement path",nil
1,"- Paycheck
- So many good people
- Such a great service
- Hope","I have been working for a year at Netflix.

I've seen what was supposed to be very mature people, sharing absolutely almost no contact that anyone would qualify as ""human"".
Sure, that sounds hyperbolic, let me develop (and maybe cherry-pick a little).

Have you heard about our culture? The one about giving candid feedback? - I have seen people complaining of behavior they literally demonstrated themselves in the following days.
But I have also seen these feedbacks resulting in tears both in the eyes of HR persons or fellow engineers. How human does that sound?

Have you heard about our culture? The one about not tolerating brilliant jerks? I have nonetheless seen angriness and frustration, expressed in private, public and meeting. People rejecting new ideas by default, like, any ideas they wouldn't have worked themselves on for days wouldn't count. Even if those ideas are from the best examples in the industry or academics. How many publications/contributions have you seen from Netflix to computer science in general? How does it compare against any other company of that size in the Bay Area? Can you imagine either the real insecurity (x)or the lack of innovation that could lead to this situation?

Except for a few managers, directors or VPs feeling free enough to behave at work in the same way than how they live, almost every engineer I have been interacting with, have shared as little as possible about their private life.
The rare exceptions of interpersonal exchange ends up around some sort of competitive behavior: Who is the most geeky, sportive, owns the fastest car/biggest house/visited the strangest place.

I've heard workaholic people complaining about ambitious peers who were over-managing, over-working to get even more work to do after. I feel like we're past workaholism at this point.

Maybe there are a lot of shy people! Maybe there is a culture of fear, not only of being fired, but also a fear of interacting with people going to be fired.
Maybe it's all in my head, maybe people giving 5 stars to their experience here don't care the human aspect of a company. And maybe they're right.

What about your crush, your fears, your desires for the future, your appetite for life? I've been blessed to work in enough large companies to know that the behavior that I'm seeing in Netflix is not a healthy one. I've also been lucky enough to work in other industries more socializing than tech and I can tell that Netflix has a lot to do on that side, and off-sites or team meeting won't solve that problem.

I am afraid about the tragic, but inevitable consequences of the ways people operate in this company: I guess that the day the worst will happen, it will be addressed in an impersonal memo by Reed; followed-up by 1 or 2 reminders during offsites. Possibly commented by HR in a Q&A document. And move on. This company seems as reactive in its management of people as it is proactive in its business operations.

I still work at Netflix though, not only for the paycheck, but because I hope. I hope it will change. The needed change can't happen from a candid feedback, a Q&A, or  only from inside.
Change has to come from everyone, including people who take time to read comments like this one. Netflix has so many good people and offers such a great service.

As a curious Netflix employee reading this review: think about your past, isn't there a big human thing that you would love to feel again in your current company that you've felt in the past?

As a candidate: think about what would be a good question to ask to that HR partner once your package is almost here to be offered to you, think about that comment you make at the end of an interview when you're being asked by an engineer: ""Do you have any question for me?""
What Netflix needs is an inception, something that anyone and everyone would think about after leaving the call or the room they were sharing with you.
Ask yourself, and then the others, the question you should ask if you think you want to spend a good amount of your life and energy in the place you're applying for.

- Will I learn and contribute to the knowledge of other's? Even outside the company?
- Will I see emotional responses from my peers? Will that be for other reasons than being fired or bluntly criticized?
- Will I find a friendly environment that will nurture my appetite for life?
- What is the amount of emotional interaction (celebrating, sharing, playing) to expect from a company whose service is the best to ""entertain""?
- Do androids dream of electric sheep?",nil
2,"great benefits, best salary around, beautiful offices and you will work amongst some of the smartest folks you have ever met, plus you are talking about tv and movies all day - it's a FUN job","the company has grown rapidly over the last few years and during covid - the previous way of onboarding and building trust was much harder to achieve. I was at Netflix new many growth phases and this one is definitely the hardest - there are a ton of talent people in the marketing department that have been there a long time (e.g. more than 4 years) but not a lot of upward mobility so it feels like folks are getting restless. It has also become a much more political environment where it feels like leadership is most focused on decision making based on perception vs. what is best for the work and the teams. If you are a used to a political environment, this may not bother you.",nil
3,"Netflix is unlike any other company I've worked at. There's a level of trust that you don't see at other companies, and the people you work with all tend to be senior-level and very capable. Because of that, there hasn't been a hierarchy among IC's; everyone leads projects and functions as a trusting peer with everyone else. It's also always been a pretty lean company with process where it's needed but not the influence of politics and bureaucracy. But both of those are slowly changing, and I fear it will soon become like every other tech company. Another pro is that the compensation is 100% salary (no bonuses or forced RSU's), and thankfully that's not changing.","Inconsistency in management across the company, the addition of levels among ICs could hinder collaboration as not everyone will be equals and a hierarchy will be created, the possible introduction of a location-based salary adjustment is unjustified (output stays the same, the company saves money with so many working remotely). Internal communication has been horrible lately, which is sad and frustrating for a company that prides itself on being open and transparent.",nil
4,"The best part about Netflix is that they try to pay 20% more than everybody else, so the compensation is good.  They are not shy about spending money, so travel is business class, you'll get a new MacBook Pro every year, etc.  The people there tend to be very nice, the catered lunch is delicious, and so forth.  While there is still a lot of action in Los Gatos building the technology (although arguably it is becoming mature, as streaming is a commodity), the real drama is in Los Angeles, relating to content.","Netflix has very strange politics, because people's jobs are at the whim of their manager.  In other words, if a manager decides that a particular report is no longer a ""star,"" he or she will get a package.  So, given that employees are not stupid, there is a lot of kissing up, resulting in a lot of comedy.  Netflix believes in ""360 feedback,"" but everybody I know only does that to their peers, and they become very political with their management chain.",nil
5,"Pay is great, unfortunately, layoffs came for most of us. Depending on the team and manager, the work could be really fun.","General instability of the times. Can't really fault Netflix but maybe if they stopped putting in $$ for big-budget films that are formulaic and bad, that could have saved some of our jobs. There are some great shows on the platform but also a ton of crap. Who greenlights all these projects? It reminds me of that one Oprah meme, except someone on top is saying yes to every production deal that comes through its doors.",nil
6,"Studio execs were very hands off compared to other studios, while still providing useful notes and thoughtful pitches.",The secrecy of how shows are faring makes knowing if you'll get picked up for another season impossible.,nil
7,"Communication, Get-Well Training, and Being the Closer person.","No Trainers, No Communication, No pressure and No Doubts",nil
8,"dynamic, exciting, cutting edge, flexible",questionable decisions by management make it hard to want to stay,nil
9,"Insane perks, huge salaries, work-life balance",Not a good environment to grow as a professional. HR looks down on the experience gained at Netflix and prefers to interview people from other studios for more senior positions.,nil
10,"culture, freedom, pay, tech, industry",don't know what to say here,nil
11,"Insane perks, huge salaries, work-life balance",Not a good environment to grow as a professional. HR looks down on the experience gained at Netflix and prefers to interview people from other studios for more senior positions.,nil
12,Challenging projects and smart colleagues.,Achieving work-life balance may be difficult.,nil
13,Great attempt at reaching company mission and goals. The company values and culture seem aspirational.,"Aspirational missions and goals can only be accomplished if leaders and/or middle management, believes in and applies the company's mission and goals. If they do not, Aspirations are just that.",nil
14,great salary and benefits nice office creative and proactive team members,highly political success is dependent on relationship with manager / how much they like your work vs how good your work is constant vying for credit and spotlight. despite the freedom to do creative work there are 10 other teams that will tell you that you can't do something as it falls within their scope. Time wasted debating people who are trying to stop you despite personal ability to override others opinions,nil
15,i get a lot of money,I have to clean up a lot of poop,nil
16,nice people and great work environment,the bathrooms are sometimes out of toiletpaper,nil
17,good to this point in time,none so far that I can think of,nil
18,Great community Great communication Great productivity,Horrible pay rate horrible tac,nil
19,"Awesome benefits, ample PTO offered, fair compensation, good vibes.",I hear they cut this entire department out of SLC,nil
20,"Awesome benefits, ample PTO offered, fair compensation, good vibes.",I hear they cut this entire department out of SLC,nil
21,"Great benefits; surrounded by smart people, learned a lot, pay is incredible","No work/life balance, constant fear of being ""let go"" from its ""keeper test philosophy."" Leadership is often disoriented - feels like US/Canada are only regions that matter, while APAC/EMEA are a strong second and LATAM is an afterthought.",nil
22,What movies at home and get paid,There really isn’t cons to this,nil
23,Culture is extremely unique and valuable,Can feel like going in many directions at once,nil
24,Everything. Stunning colleagues. Freedom & Responsibility.,"Nothing. Fulfilling work, solid pay.",nil
25,"They’re nice, and pay well",Worked completely remote and didn’t have an office,nil
26,"Great benefits, and a lot of freedom.",Terrible management culture and team structure.,nil
27,"- You really work with incredibly smart people. I have felt challenged everyday - Mental health and Carrot benefits are great - ""Top of personal market"" pay - Trust for expense, travel, and time","- I don't feel like my director levels and above truly care about the people. The company has started shifting towards ""process over people"" and it shows. It doesn't seem like we care about the people of the company anymore. - I understand the needs of a business, but for a company who preaches ""top of market"" and then start backing up their reasoning for no comp increases is because we are above the range seems like an excuse - Benefits are great, but definitely feel like benefits to help with education reimbursement, high health premiums for families, or even pet insurance is lacking - Career growth and opportunity for growth is almost non-existent",nil
28,Great work environment and people,Not being able to be remote,nil
